Entry #,Movie Title,Year,Cast and Crew,URL
78,Baraka,1992,"['Ron Fricke', 'In French']",https://www.rogerebert.com/reviews/great-movie-baraka-1992
79,"The Godfather, Part II",1974,"['Nino Rota', 'Francis Ford Coppola', 'Al Pacino', 'Tony Montana', 'Brian DePalma', 'Robert De Niro', 'Gordon Willis', 'Diane Keaton', 'Lee Strasberg', 'Talia Shire', 'Michael V. Gazzo', 'Mario Puzo', 'James Caan', 'Morgana King', 'Robert Harris']",https://www.rogerebert.com/reviews/great-movie-the-godfather-part-ii-1974
80,Adaptation,2002,"['Charlie Kaufman', 'Spike Jonze', 'Nicolas Cage', 'Brian Cox', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton', 'Donald Kaufman']",https://www.rogerebert.com/reviews/great-movie-adaptation-2002
81,L.A. Confidential,1997,"['Curtis Hanson', 'Danny DeVito', 'Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Mickey Cohen', 'David Strathairn', 'James Cromwell', 'James Ellroy', 'Brian Helgeland', 'Kim Basinger']",https://www.rogerebert.com/reviews/great-movie-la-confidential-1997
82,Mephisto,1981,"['Klaus ', 'Maria Brandauer', 'Istvan Szabo', 'Karin Boyd', 'Rolf Hoppe', 'Klaus Mann', 'Gustaf Grundgens']",https://www.rogerebert.com/reviews/great-movie-mephisto-1981
83,Dog Day Afternoon,1975,"['Sidney Lumet', 'Dede Allen', 'Al Pacino', 'John Cazale', 'Judith Malina', 'Chris Sarandon', 'Charles Durning', 'James Broderick']",https://www.rogerebert.com/reviews/great-movie-dog-day-afternoon-1975
84,Through a Glass Darkly,1961,"['Ingmar Bergman', 'Harriet Andersson', 'Sven Nykvist', 'Lars Passgard', 'Gunnar Bjornstrand']",https://www.rogerebert.com/reviews/great-movie-through-a-glass-darkly-1961
85,Cool Hand Luke,1967,"['Brad Pitt', 'Tom Cruise', 'Paul Newman', 'Strother Martin', 'Morgan Woodward', 'George Kennedy', 'Stuart Rosenberg', 'Conrad Hall', 'Robert Drivas', 'Dennis Hopper', 'Warren Beatty', 'Steve McQueen', 'Lee Marvin', 'Jo Van Fleet']",https://www.rogerebert.com/reviews/great-movie-cool-hand-luke-1967
86,Triumph of the Will,1935,"['Leni Riefenstahl', 'Michael Wadleigh', 'Bruno Ganz']",https://www.rogerebert.com/reviews/great-movie-triumph-of-the-will-1935
87,Rocco and His Brothers,1960,"['Luchino Visconti', 'Renato Salvatori', 'Alain Delon', 'Spiros Focas', 'Claudia Cardinale', 'Annie Girardot', 'Harvey Keitel', 'Robert De Niro']",https://www.rogerebert.com/reviews/great-movie-rocco-and-his-brothers-1960
88,My Man Godfrey,1936,"['Carole Lombard', 'William Powell', 'Alice Brady', 'Mischa Auer', 'Gail Patrick', 'Jean Dixon']",https://www.rogerebert.com/reviews/great-movie-my-man-godfrey-1936
89,Johnny Guitar,1954,"['Nicholas Ray', 'Sterling Hayden', 'Mercedes McCambridge', 'Scott Brady', 'Bette Davis', 'Francois Truffaut', 'Marlene Dietrich', 'Ward Bond', 'Ernest Borgnine', 'Ben Maddow', 'Shirley Knight']",https://www.rogerebert.com/reviews/johnny-guitar-1954
90,Ordet,1955,['Carl Theodor Dreyer'],https://www.rogerebert.com/reviews/great-movie-ordet-1955
91,What Ever Happened to Baby Jane?,1962,"['Robert Aldrich', 'Bette Davis', 'Maidie Norman', 'Victor Buono', 'Julia Roberts', 'Cate Blanchett', 'Lillian Gish', 'Lindsay Anderson', 'Burt Lancaster', 'Henry Farrell', 'Jodie Foster', 'Charles Busch']",https://www.rogerebert.com/reviews/great-movie-what-ever-happened-to-baby-jane-1962
92,Vengeance is Mine,2008,"['Ken Ogata', 'Shohei Imamura']",https://www.rogerebert.com/reviews/vengeance-is-mine-2008
93,Diva,2008,"['Jean-Jacques Beineix', 'Frederic Andrei', 'Wilhelmenia Wiggins Fernandez', 'Thuy An Luu', 'Richard Bohringer', 'Luc Besson', 'Philippe Rousselot', 'Dominique Pinon', 'Daniel Odier']",https://www.rogerebert.com/reviews/diva-2008
94,The Best Years of Our Lives,1946,"['Fredric March', 'Myrna Loy', 'Teresa Wright', 'Gregg Toland']",https://www.rogerebert.com/reviews/the-best-years-of-our-lives-1946
95,Mishima: A Life in Four Chapters,1985,"['Yukio Mishima', 'Ken Ogata', 'Norman Mailer', 'Gore Vidal', 'John Bailey', 'Philip Glass', 'Francis Coppola', 'George Lucas']",https://www.rogerebert.com/reviews/great-movie-mishima-a-life-in-four-chapters-1985
96,Winter Light,1962,"['Ingmar Bergman', 'Sven Nykvist', 'Gunnar Bjornstrand', 'Ingrid Thulin', 'Allan Edwall', 'Gunnel Lindblom', 'Liv Ullmann']",https://www.rogerebert.com/reviews/great-movie-winter-light-1962
97,The Enigma of Kaspar Hauser,1974,"['Christian Bale', 'Jouko Ahola', 'Klaus Kinski']",https://www.rogerebert.com/reviews/the-enigma-of-kaspar-hauser-1974
